EmployeeID,Name,Age,Gender,City,Department,Salary,Experience,JoiningYear,PerformanceScore
1,Employee_1,31.0,Female,Hyderabad,Product,79265.0,7,2019,2.7
2,Employee_2,25.0,Male,Bangalore,Product,58685.0,3,2023,4.9
3,Employee_3,24.0,Male,Bangalore,Security,53555.0,1,2025,3.8
4,Employee_4,34.0,Female,Bangalore,Product,87047.0,10,2016,3.6
5,Employee_5,27.0,Female,Bangalore,Security,60556.0,3,2023,4.2
6,Employee_6,,Female,Bangalore,Product,109433.0,14,2012,3.3
7,Employee_7,31.0,Male,Pune,Engineering,98748.0,7,2019,2.9
8,Employee_8,29.0,Female,Bangalore,Product,79805.0,6,2020,3.9
9,Employee_9,33.0,Male,Delhi,Engineering,110173.0,10,2016,4.3
10,Employee_10,30.0,Female,Mumbai,Product,84892.0,8,2018,3.2
11,Employee_11,35.0,Male,Mumbai,Security,104208.0,13,2013,4.5
12,Employee_12,36.0,Female,Hyderabad,Engineering,110695.0,12,2014,4.5
13,Employee_13,29.0,Female,Pune,Security,68561.0,5,2021,4.1
14,Employee_14,25.0,Male,Delhi,Operations,56215.0,1,2025,3.3
15,Employee_15,27.0,Female,Pune,Product,62056.0,3,2023,2.8
16,Employee_16,38.0,Female,Delhi,Security,,14,2012,3.8
17,Employee_17,29.0,Male,Bangalore,Product,80408.0,7,2019,3.8
18,Employee_18,33.0,Male,Bangalore,Operations,93636.0,11,2015,2.7
19,Employee_19,35.0,Female,Bangalore,Engineering,121789.0,13,2013,2.8
20,Employee_20,34.0,Male,Bangalore,Product,90663.0,11,2015,2.8
21,Employee_21,42.0,Male,Hyderabad,Product,138260.0,20,2006,3.3
22,Employee_22,25.0,Female,Mumbai,Engineering,77545.0,1,2025,2.9
23,Employee_23,40.0,Male,Mumbai,Engineering,134585.0,17,2009,4.2
24,Employee_24,40.0,Non-Binary,Bangalore,Security,125289.0,17,2009,3.5
25,Employee_25,25.0,Female,Bangalore,Engineering,73172.0,2,2024,5.0
26,Employee_26,40.0,Female,,Engineering,136958.0,17,2009,3.4
27,Employee_27,38.0,Female,Pune,Data Platform,125287.0,16,2010,2.9
28,Employee_28,27.0,Female,Pune,Data Platform,77546.0,4,2022,3.8
29,Employee_29,25.0,Male,Pune,Engineering,65959.0,1,2025,4.8
30,Employee_30,34.0,Male,Bangalore,Engineering,113922.0,10,2016,4.1
31,Employee_31,25.0,Female,Mumbai,Security,58423.0,2,2024,4.7
32,Employee_32,27.0,Male,Pune,Operations,66874.0,3,2023,4.6
33,Employee_33,40.0,Female,Delhi,Product,118539.0,17,2009,4.2
34,Employee_34,41.0,Female,Mumbai,Data Platform,141207.0,18,2008,3.9
35,Employee_35,23.0,Male,Pune,Data Platform,64699.0,1,2025,3.7
36,Employee_36,25.0,Female,Mumbai,Engineering,76496.0,3,2023,3.9
37,Employee_37,28.0,Male,Pune,Data Platform,93565.0,6,2020,3.7
38,Employee_38,25.0,Male,Mumbai,Operations,63619.0,1,2025,3.7
39,Employee_39,25.0,Male,Pune,Engineering,85503.0,3,2023,2.6
40,Employee_40,28.0,Male,Mumbai,Operations,83434.0,6,2020,4.9
41,Employee_41,25.0,Female,Mumbai,Product,58331.0,1,2025,3.3
42,Employee_42,41.0,Female,Bangalore,Engineering,133816.0,18,2008,4.8
43,Employee_43,39.0,Male,Mumbai,Data Platform,126093.0,15,2011,2.9
